  722000   944000  -0.037  -0.228
  724000   944000  -0.001  -0.224
  726000   944000   0.028  -0.253
  728000   944000   0.050  -0.254
  730000   944000   0.078  -0.255
  732000   944000   0.107  -0.260
  734000   944000   0.128  -0.267
  736000   944000   0.146  -0.272
  738000   944000   0.169  -0.294
  740000   944000   0.173  -0.299
  742000   944000   0.178  -0.298
  744000   944000   0.185  -0.291
  746000   944000   0.194  -0.298
  748000   944000   0.184  -0.323
  664000   946000   0.109  -0.215
  666000   946000   0.108  -0.201
  668000   946000   0.110  -0.189
  670000   946000   0.112  -0.171
  672000   946000   0.125  -0.158
  674000   946000   0.142  -0.124
  676000   946000   0.154  -0.114
  678000   946000   0.164  -0.104
  680000   946000   0.172  -0.080
  682000   946000   0.184  -0.062
  684000   946000   0.187  -0.061
  686000   946000   0.242  -0.088
  688000   946000   0.250  -0.087
  690000   946000   0.225  -0.061
  692000   946000   0.222  -0.057
  694000   946000   0.229  -0.059
  696000   946000   0.237  -0.063
  698000   946000   0.227  -0.038
  708000   946000  -0.086  -0.176
  710000   946000  -0.089  -0.159
  712000   946000  -0.082  -0.168
  714000   946000  -0.071  -0.190
  716000   946000  -0.070  -0.229
  718000   946000  -0.067  -0.228
  720000   946000  -0.040  -0.203
  722000   946000  -0.015  -0.208
  724000   946000   0.001  -0.214
  726000   946000   0.033  -0.220
  728000   946000   0.057  -0.219
  730000   946000   0.079  -0.217
  732000   946000   0.092  -0.214
  734000   946000   0.127  -0.216
  736000   946000   0.138  -0.219
  738000   946000   0.150  -0.257
  740000   946000   0.162  -0.262
  742000   946000   0.173  -0.273
  744000   946000   0.183  -0.279
  746000   946000   0.196  -0.297
  664000   948000   0.091  -0.207
  666000   948000   0.092  -0.206
  668000   948000   0.105  -0.190
  670000   948000   0.109  -0.178
  672000   948000   0.110  -0.166
  674000   948000   0.129  -0.136
  676000   948000   0.155  -0.122
  678000   948000   0.169  -0.126
  680000   948000   0.167  -0.079
  682000   948000   0.181  -0.059
  684000   948000   0.186  -0.060
  686000   948000   0.207  -0.067
  688000   948000   0.222  -0.067
  690000   948000   0.226  -0.040
  692000   948000   0.219  -0.050
  694000   948000   0.219  -0.053
  696000   948000   0.225  -0.057
  698000   948000   0.225  -0.051
  706000   948000  -0.103  -0.079
  708000   948000  -0.097  -0.140
  710000   948000  -0.093  -0.144
  712000   948000  -0.082  -0.147
  714000   948000  -0.075  -0.162
  716000   948000  -0.073  -0.186
  718000   948000  -0.071  -0.181
  720000   948000  -0.047  -0.171
  722000   948000  -0.010  -0.187
  724000   948000   0.003  -0.192
  726000   948000   0.056  -0.201
  728000   948000   0.073  -0.202
  730000   948000   0.082  -0.194
  732000   948000   0.088  -0.198
  734000   948000   0.121  -0.205
  736000   948000   0.135  -0.210
  738000   948000   0.144  -0.227
  740000   948000   0.152  -0.228
  742000   948000   0.168  -0.234
  744000   948000   0.172  -0.215
  746000   948000   0.182  -0.218
  748000   948000   0.181  -0.128
  662000   950000   0.081  -0.216
  664000   950000   0.089  -0.208
  666000   950000   0.091  -0.208
  668000   950000   0.101  -0.196
  670000   950000   0.103  -0.181
  672000   950000   0.107  -0.177
  674000   950000   0.115  -0.154
  676000   950000   0.131  -0.119
  678000   950000   0.134  -0.099
  680000   950000   0.152  -0.074
  682000   950000   0.183  -0.047
  684000   950000   0.169  -0.051
  686000   950000   0.189  -0.058
  688000   950000   0.207  -0.058
  690000   950000   0.212  -0.049
  692000   950000   0.208  -0.050
  694000   950000   0.213  -0.051
  696000   950000   0.212  -0.052
  698000   950000   0.225  -0.051
  706000   950000  -0.114  -0.071
  708000   950000  -0.100  -0.127
  710000   950000  -0.092  -0.118
  712000   950000  -0.086  -0.116
  714000   950000  -0.081  -0.117
  716000   950000  -0.069  -0.137
  718000   950000  -0.063  -0.144
  720000   950000  -0.037  -0.140
  722000   950000  -0.014  -0.158
  724000   950000   0.009  -0.169
  726000   950000   0.038  -0.179
  728000   950000   0.062  -0.186
  730000   950000   0.083  -0.189
  732000   950000   0.091  -0.190
  734000   950000   0.109  -0.192
  736000   950000   0.127  -0.193
  738000   950000   0.139  -0.190
  740000   950000   0.144  -0.189
  742000   950000   0.158  -0.176
  744000   950000   0.162  -0.172
  746000   950000   0.168  -0.135
  748000   950000   0.219  -0.082
  750000   950000   0.231  -0.067
  752000   950000   0.286   0.000
  754000   950000   0.286   0.000
  756000   950000   0.286   0.000
  758000   950000   0.286   0.000
  762000   950000   0.227  -0.060
  764000   950000   0.227  -0.060
  766000   950000   0.227  -0.060
  768000   950000   0.227  -0.060
  662000   952000   0.080  -0.216
  664000   952000   0.086  -0.210
  666000   952000   0.089  -0.206
  668000   952000   0.092  -0.203
  670000   952000   0.100  -0.194
  672000   952000   0.105  -0.183
  674000   952000   0.108  -0.164
  676000   952000   0.113  -0.125
  678000   952000   0.112  -0.092
  680000   952000   0.137  -0.074
  682000   952000   0.150  -0.053
  684000   952000   0.160  -0.053
  686000   952000   0.172  -0.052
  688000   952000   0.179  -0.042
  690000   952000   0.186  -0.044
  692000   952000   0.192  -0.046
  694000   952000   0.204  -0.048
  696000   952000   0.188  -0.029
  698000   952000   0.181  -0.009
  706000   952000  -0.114  -0.071
  708000   952000  -0.109  -0.067
  710000   952000  -0.096  -0.104
  712000   952000  -0.090  -0.090
  714000   952000  -0.100  -0.081
  716000   952000  -0.081  -0.096
  718000   952000  -0.049  -0.117
  720000   952000  -0.029  -0.125
  722000   952000  -0.012  -0.132
  724000   952000   0.030  -0.151
  726000   952000   0.035  -0.152
  728000   952000   0.063  -0.158
  730000   952000   0.081  -0.160
  732000   952000   0.097  -0.169
  734000   952000   0.113  -0.170
  736000   952000   0.129  -0.162
  738000   952000   0.139  -0.160
  740000   952000   0.142  -0.160
  742000   952000   0.153  -0.142
  744000   952000   0.165  -0.133
  746000   952000   0.184  -0.113
  748000   952000   0.216  -0.086
  750000   952000   0.234  -0.064
  752000   952000   0.248  -0.046
  754000   952000   0.246  -0.006
  756000   952000   0.236  -0.008
  758000   952000   0.224  -0.024
  760000   952000   0.213  -0.034
  762000   952000   0.191  -0.040
  764000   952000   0.204  -0.039
  766000   952000   0.214  -0.042
  768000   952000   0.215  -0.041
  770000   952000   0.243  -0.044
  660000   954000   0.051  -0.217
  662000   954000   0.078  -0.216
  664000   954000   0.082  -0.211
  666000   954000   0.080  -0.207
  668000   954000   0.082  -0.206
  670000   954000   0.109  -0.215
  672000   954000   0.097  -0.183
  674000   954000   0.099  -0.157
  676000   954000   0.100  -0.146
  678000   954000   0.099  -0.122
  680000   954000   0.121  -0.094
