app,URL,action,Základní_A,Základní_B,Základní_C,Základní_D,Základní_E,Stav_B,Stav_C,Stav_D,Stav_E,Vlastnictví_B,Vlastnictví_C,Vlastnictví_D,Vlastnictví_E,Přístupnost_B,Přístupnost_C,Přístupnost_D,Přístupnost_E,spec
projekt,dokument/odpojit/<str:proj_ident_cely>/<str:ident_cely>,projekt_dok_odpojit,X,X,*,*,*,X,P2-P4,<P6 | >P6,<P6 | >P6,X,P.ours,*,*,X,*,*,*,pouze typ průzkum
projekt,dokument/pripojit/<str:proj_ident_cely>,projekt_dok_pripojit,X,X,*,*,*,X,P2-P4,P2-P5,P2-P5,X,P.ours,*,*,X,*,*,*,pouze typ průzkum
projekt,edit/<str:ident_cely>,projekt_edit,X,X,*,*,*,X,P2-P4,<P6 | >P6,<P6 | >P6,X,P.ours,*,*,X,*,*,*,speciální chování formuláře pro C
projekt,generovat-expertni-list/<str:ident_cely>,projekt_generovat_exp_list,X,X,*,*,*,X,P4-P6,P4-P6,P4-P6,X,P.ours,*,*,X,*,*,*,pouze typ záchranný
projekt,generovat-oznameni/<str:ident_cely>,projekt_generovat_oznameni,X,X,X,*,*,X,X,>P0,>P0,X,X,*,*,X,X,*,*,pouze typ záchranný
projekt,mapa-pas,,X,X,*,*,*,X,* | SN4,*,*,X,SN.ours | *,*,*,X,* | SN (ours),*,*,
projekt,mapa-pian,,X,X,*,*,*,X,* | PI2,*,*,X,PI.ours | *,*,*,X,* | PI (ours),*,*,
projekt,mapa-projekty,,X,X,*,*,*,X,*,*,*,X,*,*,*,X,P (ours),*,*,
projekt,oznamovatel/edit/<str:ident_cely>,,X,X,X,*,*,X,X,<P6 | >P6,<P6 | >P6,X,X,*,*,X,X,*,*,
projekt,oznamovatel/edit/<str:ident_cely>,projekt_oznamovatel_edit,X,X,X,*,*,X,X,<P6 | >P6,<P6 | >P6,X,X,*,*,X,X,*,*,
projekt,oznamovatel/zapsat/<str:ident_cely>,projekt_oznamovatel_zapsat,X,X,X,*,*,X,X,<P6 | >P6,<P6 | >P6,X,X,*,*,X,X,*,*,
projekt,radek-tabulky-odkaz,,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,pouze typ průzkum
projekt,smazat/<str:ident_cely>,projekt_smazat,X,X,X,*,*,X,X,P0,<P6 | >P6,X,X,*,*,X,X,*,*,
projekt,stav/archivovat/<str:ident_cely>,projekt_archivovat,X,X,X,*,*,X,X,P5,P5,X,X,*,*,X,X,*,*,
projekt,stav/navrhnout-ke-zruseni/<str:ident_cely>,projekt_navrh_ke_zruseni,X,X,*,*,*,X,P1 | P2,P1-P5,P1-P5,X,* | P.ours,*,*,X,*,*,*,
projekt,stav/prihlasit/<str:ident_cely>,projekt_prihlasit,X,X,*,*,*,X,P1,P1,P1,X,*,*,*,X,*,*,*,pouze uzivatel.organizace.oao = true; speciální chování formuláře pro C
projekt,stav/schvalit/<str:ident_cely>,projekt_schvalit,X,X,X,*,*,X,X,P0,P0,X,X,*,*,X,X,*,*,
projekt,stav/ukoncit-v-terenu/<str:ident_cely>,projekt_ukoncit_v_terenu,X,X,*,*,*,X,P3,P3,P3,X,P.ours,*,*,X,*,*,*,
projekt,stav/uzavrit/<str:ident_cely>,projekt_uzavrit,X,X,*,*,*,X,P4,P4,P4,X,P.ours,*,*,X,*,*,*,
projekt,stav/vratit-navrh-zruseni/<str:ident_cely>,projekt_vratit_navrh_zruseni,X,X,X,*,*,X,X,P7-P8,P7-P8,X,X,*,*,X,X,*,*,
projekt,stav/vratit/<str:ident_cely>,projekt_vratit,X,X,X,*,*,X,X,P2-P6,P2-P6,X,X,*,*,X,X,*,*,
projekt,stav/zahajit-v-terenu/<str:ident_cely>,projekt_zahajit_v_terenu,X,X,*,*,*,X,P2,P2,P2,X,P.ours,*,*,X,*,*,*,
projekt,stav/zrusit/<str:ident_cely>,projekt_zrusit,X,X,X,*,*,X,X,P7,P7,X,X,*,*,X,X,*,*,
projekt,upravit-datum-oznameni/<str:ident_cely>,projekt_upravit_datum_oznameni,X,X,X,*,*,X,X,<P6 | >P6,<P6 | >P6,X,X,*,*,X,X,*,*,
projekt,vyber,,X,X,*,*,*,X,P1 | >P1,*,*,X,*,*,*,X,* | P (ours),*,*,
projekt,zadost-odhlaseni-projektu/<str:ident_cely>,projekt_zadost_odhlaseni_projektu,X,X,*,X,X,X,P2,X,X,X,P.ours,X,X,X,*,X,X,
projekt,zadost-udaje-oznamovatel/<str:ident_cely>,projekt_zadost_udaje_oznamovatel,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,X,X,
projekt,zadost-zruseni-projektu/<str:ident_cely>,projekt_zadost_zruseni_projektu,X,X,*,X,X,X,P3-P4,X,X,X,P.ours,X,X,X,*,X,X,
projekt,zapsat,,X,X,*,*,*,X,*,*,*,X,*,*,*,X,*,*,*,
rosetta,/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
rosetta,files/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
rosetta,files/<po_filter>/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
rosetta,files/<po_filter>/<lang_id>/<idx>/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
rosetta,files/<po_filter>/<lang_id>/<idx>/download/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
rosetta,translate/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
uzivatel,autocomplete-public/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
uzivatel,autocomplete/,,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
uzivatel,delete-request/,,X,*,*,*,*,*,*,*,*,U.my,U.my,U.my,U.my,*,*,*,*,
uzivatel,edit/,,X,*,*,*,*,*,*,*,*,U.my,U.my,U.my,U.my,*,*,*,*,
uzivatel,notifikace/edit/,,X,*,*,*,*,*,*,*,*,U.my,U.my,U.my,U.my,*,*,*,*,
vypis,<str:typ_vazby>/<str:ident_cely>/,vypis_akce,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
vypis,<str:typ_vazby>/<str:ident_cely>/,vypis_lokalita,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
vypis,<str:typ_vazby>/<str:ident_cely>/,vypis_dokument,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
vypis,<str:typ_vazby>/<str:ident_cely>/,vypis_model3d,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
vypis,<str:typ_vazby>/<str:ident_cely>/,vypis_ez,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
vypis,<str:typ_vazby>/<str:ident_cely>/,vypis_pas,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
vypis,<str:typ_vazby>/<str:ident_cely>/,vypis_projekt,X,X,*,*,*,X,P1-P8,*,*,X,*,*,*,X,P (ours),*,*,
vypis,cisty/<str:typ_vazby>/<str:ident_cely>/,vypis_akce,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
vypis,cisty/<str:typ_vazby>/<str:ident_cely>/,vypis_lokalita,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
vypis,cisty/<str:typ_vazby>/<str:ident_cely>/,vypis_dokument,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
vypis,cisty/<str:typ_vazby>/<str:ident_cely>/,vypis_model3d,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
vypis,cisty/<str:typ_vazby>/<str:ident_cely>/,vypis_ez,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
vypis,cisty/<str:typ_vazby>/<str:ident_cely>/,vypis_pas,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
vypis,cisty/<str:typ_vazby>/<str:ident_cely>/,vypis_projekt,X,X,*,*,*,X,P1-P8,*,*,X,*,*,*,X,P (ours),*,*,
vypis,list/<str:typ_vazby>/<str:identy_cele>/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
