app,URL,action,Základní_A,Základní_B,Základní_C,Základní_D,Základní_E,Stav_B,Stav_C,Stav_D,Stav_E,Vlastnictví_B,Vlastnictví_C,Vlastnictví_D,Vlastnictví_E,Přístupnost_B,Přístupnost_C,Přístupnost_D,Přístupnost_E,spec
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_projekt,X,X,*,*,*,X,P2-P4,<P6,<P6,X,P.ours,*,*,X,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>/<int:file_id>,soubor_nahradit_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>/<int:file_id>,soubor_nahradit_model3d,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>/<int:file_id>,soubor_nahradit_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/smazat-DZ/<str:typ_vazby>/<str:ident_cely>/<int:pk>,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_projekt,X,X,X,*,*,X,X,<P6 | >P6,<P6 | >P6,X,X,*,*,X,X,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_model3d,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_projekt,X,X,*,*,*,X,P1 | P2-P6,*,*,X,* | P.ours,*,*,X,*,*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_model3d,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,*,*,*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_dokument,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,* | D (my),* | D (ours),*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_pas,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_projekt,X,X,*,*,*,X,*,*,*,X,*,*,*,X,*,*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_model3d,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_dokument,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_pas,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_projekt,X,X,*,*,*,X,P1 | P2-P6,*,*,X,* | P.ours,*,*,X,*,*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_model3d,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,*,*,*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_dokument,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,* | D (my),* | D (ours),*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_pas,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,akce_dj_zakladni,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,akce_pripojit_pian_mapa,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,akce_pripojit_pian_id,X,X,X,*,*,X,X,<AZ3,<AZ3,X,X,*,*,X,X,*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,lokalita_dj_zakladni,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,lokalita_pripojit_pian_mapa,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,lokalita_pripojit_pian_id,X,X,X,*,*,X,X,<AZ3,<AZ3,X,X,*,*,X,X,*,*,
dj,smazat/<str:ident_cely>,dj_smazat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,zapsat/<str:arch_z_ident_cely>,,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,zmenit-katastr/<str:ident_cely>,dj_zmenit_katastr,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dokument,/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Naše dokumenty` pro <C a `Zapsat` + `Archivovat` pro <D
dokument,autocomplete,,X,*,*,*,*,*,*,*,*,D.my,D.ours,*,*,*,*,*,*,vyloučit řadu 3D
dokument,cast/edit/<slug:slug>,dok_cast_edit,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/odpojit/<str:ident_cely>,dok_cast_odpojit,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/pripojit-arch-z/<str:ident_cely>,dok_pripojit_archz,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/pripojit-projekt/<str:ident_cely>,dok_pripojit_proj,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/smazat/<str:ident_cely>,dok_cast_smazat,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/zapsat/<str:ident_cely>,dok_cast_zapsat,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,detail/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,detail/<str:ident_cely>/cast/<str:cast_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,detail/<str:ident_cely>/cast/<str:cast_ident_cely>/komponenta/zapsat,dok_komponenta_zapsat,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,detail/<str:ident_cely>/komponenta/<str:komp_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,dokumenty-tabulka/<str:typ_vazby>/<str:ident_cely>,dokumenty_tabulka_arch_z,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
dokument,dokumenty-tabulka/<str:typ_vazby>/<str:ident_cely>,dokumenty_tabulka_projekt,X,X,*,*,*,X,P1-P8,*,*,X,*,*,*,X,P (ours),*,*,
dokument,edit/<str:ident_cely>,dok_edit,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,model/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Naše modely` pro <C a `Archivovat` pro <D
dokument,model/detail/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,model/edit/<str:ident_cely>,model_edit,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,model/mapa-3d,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,model/vyber,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,model/zapsat,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,neident-akce/smazat/<str:ident_cely>,neident_akce_smazat,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,radek-tabulky-odkaz,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,radek-tabulky-odkaz-vratit,,X,X,X,*,*,X,X,D2,D2,X,X,*,*,X,X,*,*,
dokument,smazat/<str:ident_cely>,dok_smazat,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,stav/archivovat/<str:ident_cely>,dok_archivovat,X,X,X,*,*,X,X,D2,D2,X,X,*,*,X,X,*,*,
dokument,stav/odeslat/<str:ident_cely>,dok_odeslat,X,*,*,*,*,D1,D1,D1,D1,D.my,D.ours,*,*,*,*,*,*,
dokument,stav/vratit/<str:ident_cely>,dok_vratit,X,X,X,*,*,X,X,>D1,>D1,X,X,*,*,X,X,*,*,
dokument,tvar/edit/<str:ident_cely>,dok_tvary_edit,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,tvar/smazat/<str:ident_cely>/<int:pk>,dok_tvary_smazat,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,vyber,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,zapsat,,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
dokument,zapsat/do-arch-z/<str:arch_z_ident_cely>,dok_zapsat_do_archz,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dokument,zapsat/do-projektu/<str:proj_ident_cely>,dok_zapsat_do_projekt,X,X,*,*,*,X,P2-P4,P2-P5,P2-P5,X,P.ours,*,*,X,*,*,*,pouze typ průzkum
dokument,zjisti-licenci-organizace/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ext-zdroj,/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Naše zdroje` pro <C a `Potvrdit` pro <D
ext-zdroj,autocomplete,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ext-zdroj,detail/<slug:slug>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ext-zdroj,edit/<slug:slug>,ez_edit,X,*,*,*,*,EZ1,EZ1,<EZ3,<EZ3,EZ.my,EZ.ours,*,*,*,*,*,*,
ext-zdroj,ext-odkaz-tabulka/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ext-zdroj,ext-odkaz/edit/<str:typ_vazby>/<str:ident_cely>/<slug:slug>,eo_edit_ez,X,*,*,*,*,EZ1,EZ1,<EZ3,<EZ3,EZ.my,EZ.ours,*,*,*,*,*,*,
ext-zdroj,ext-odkaz/edit/<str:typ_vazby>/<str:ident_cely>/<slug:slug>,eo_edit_akce,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
ext-zdroj,ext-odkaz/odpojit-az/<str:ident_cely>/<int:eo_id>,eo_odpojit_akce,X,*,*,*,*,EZ1,EZ1,<EZ3,<EZ3,EZ.my,EZ.ours,*,*,*,*,*,*,
ext-zdroj,ext-odkaz/odpojit-ez/<str:ident_cely>/<int:eo_id>,eo_odpojit_ez,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
ext-zdroj,ext-odkaz/pripojit-az/<str:ident_cely>,eo_pripojit_akce,X,*,*,*,*,EZ1,EZ1,<EZ3,<EZ3,EZ.my,EZ.ours,*,*,*,*,*,*,
ext-zdroj,ext-odkaz/pripojit-ez/<str:ident_cely>,eo_pripojit_ez,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
ext-zdroj,radek-tabulky-odkaz,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ext-zdroj,smazat/<str:ident_cely>,ez_smazat,X,*,*,*,*,EZ1,EZ1,<EZ3,<EZ3,EZ.my,EZ.ours,*,*,*,*,*,*,
ext-zdroj,stav/odeslat/<str:ident_cely>,ez_odeslat,X,*,*,*,*,EZ1,EZ1,EZ1,EZ1,EZ.my,EZ.ours,*,*,*,*,*,*,
ext-zdroj,stav/potvrdit/<str:ident_cely>,ez_potvrdit,X,X,X,*,*,X,X,EZ2,EZ2,X,X,*,*,X,X,*,*,
ext-zdroj,stav/vratit/<str:ident_cely>,ez_vratit,X,X,X,*,*,X,X,>EZ1,>EZ1,X,X,*,*,X,X,*,*,
ext-zdroj,vyber,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ext-zdroj,zapsat,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
fedora,continue-processing/<str:job_id>,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
healthcheck,/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,zavřít mimo localhost
heslar,dokument-format/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,dokument-typ/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,heslar-nazev/autocomplete/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
heslar,heslar/autocomplete/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
heslar,katastry/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,mapa-zjisti-katastr/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,osoba/autocomplete/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,osoba/zapsat,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,pristupnost/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,zjisti-nadrazenou-hodnotu/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
heslar,zjisti-vychozi-hodnotu/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
historie,arch-z/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
historie,dokument/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
historie,ez/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
historie,lokalita/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
historie,pas/<str:ident_cely>,,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
historie,projekt/<str:ident_cely>,,X,X,*,*,*,X,*,*,*,X,*,*,*,X,*,*,*,
historie,soubor/<int:soubor_id>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
historie,spoluprace/<int:pk>,,X,*,*,*,*,*,*,*,*,US.my,US.ours,*,*,*,*,*,*,
historie,uzivatel/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,U.my,U.my,*,*,*,*,*,*,
historie,adb/<str:ident_cely>/<str:akce_ident_cely>/<str:dj_ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,arch-z/<str:ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,dokument/<str:ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,ez/<str:ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,lokalita/<str:ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,pas/<str:ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,pian/<str:ident_cely>/<str:akce_ident_cely>/<str:dj_ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,pian-lokalita/<str:ident_cely>/<str:lokalita_ident_cely>/<str:dj_ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,projekt/<str:ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,soubor/<int:soubor_id>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
historie,uzivatel/<str:ident_cely>,historie_fedora,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
i18n,setlang/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
komponenta,detail/<str:typ_vazby>/<str:ident_cely>,komponenta_detail_akce,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
komponenta,detail/<str:typ_vazby>/<str:ident_cely>,komponenta_detail_dok,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
komponenta,smazat/<str:typ_vazby>/<str:ident_cely>,komponenta_smazat_akce,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
komponenta,smazat/<str:typ_vazby>/<str:ident_cely>,komponenta_smazat_dok,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
komponenta,zapsat/<str:typ_vazby>/<str:dj_ident_cely>,komponenta_zapsat_akce,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
komponenta,zapsat/<str:typ_vazby>/<str:dj_ident_cely>,komponenta_zapsat_dok,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
nalez,edit/<str:typ_vazby>/<str:komp_ident_cely>,nalez_edit_akce,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
nalez,edit/<str:typ_vazby>/<str:komp_ident_cely>,nalez_edit_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
nalez,smazat/<str:typ_vazby>/<str:typ>/<str:ident_cely>,nalez_smazat_akce,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
nalez,smazat/<str:typ_vazby>/<str:typ>/<str:ident_cely>,nalez_smazat_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
neident-akce,edit/<slug:slug>,neident_akce_edit,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
notifikace-projekty,/,notifikace_projekty,X,X,*,*,*,X,*,*,*,X,U.my,U.my,U.my,X,*,*,*,
notifikace-projekty,smazat/<int:pk>,,X,X,*,*,*,X,*,*,*,X,U.my,U.my,U.my,X,*,*,*,
notifikace-projekty,zapsat/,,X,X,*,*,*,X,*,*,*,X,U.my,U.my,U.my,X,*,*,*,
oznameni,/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
oznameni,dokumentace,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
oznameni,dokumentace/<str:ident_cely>,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
