"Název knihovny","Verze","Licence","Odkaz"
"python-crontab","3.0.0","GNU Lesser General Public License v3 or later (LGPLv3+)","https://gitlab.com/doctormo/python-crontab/"
"python-dateutil","2.8.2","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"python-logstash","0.4.8","MIT License","https://github.com/vklochan/python-logstash"
"python-magic","0.4.27","MIT License","http://github.com/ahupp/python-magic"
"pytz","2023.3.post1","MIT License","http://pythonhosted.org/pytz"
"rcssmin","1.1.1","Apache License, Version 2.0","http://opensource.perlig.de/rcssmin/"
"redis","5.0.1","MIT License","https://github.com/redis/redis-py"
"reportlab","4.0.8","BSD License","https://www.reportlab.com/"
"requests","2.31.0","Apache Software License","https://requests.readthedocs.io"
"rjsmin","1.2.1","Apache License, Version 2.0","http://opensource.perlig.de/rjsmin/"
"selenium","4.16.0","Apache Software License","https://www.selenium.dev"
"simplejson","3.19.2","Academic Free License (AFL); MIT License","https://github.com/simplejson/simplejson"
"six","1.16.0","MIT License","https://github.com/benjaminp/six"
"sniffio","1.3.0","Apache Software License; MIT License","https://github.com/python-trio/sniffio"
"sortedcontainers","2.4.0","Apache Software License","http://www.grantjenks.com/docs/sortedcontainers/"
"soupsieve","2.5","MIT License","https://github.com/facelessuser/soupsieve"
"sqlparse","0.4.4","BSD License","https://github.com/andialbrecht/sqlparse"
"tablib","3.5.0","MIT License","https://tablib.readthedocs.io"
"tabulate","0.9.0","MIT License","https://github.com/astanin/python-tabulate"
"tomli","2.0.1","MIT License","https://github.com/hukkin/tomli"
"tornado","6.4","Apache Software License","http://www.tornadoweb.org/"
"trio","0.23.2","Apache Software License; MIT License","https://github.com/python-trio/trio"
"trio-websocket","0.11.1","MIT License","https://github.com/python-trio/trio-websocket"
"typing_extensions","4.9.0","Python Software Foundation License","https://github.com/python/typing_extensions"
"tzdata","2023.3","Apache Software License","https://github.com/python/tzdata"
"urllib3","2.1.0","MIT License","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"vine","5.1.0","BSD License","https://github.com/celery/vine"
"virtualenv","20.25.0","MIT License","https://github.com/pypa/virtualenv"
"wrapt","1.16.0","BSD License","https://github.com/GrahamDumpleton/wrapt"
"wsproto","1.2.0","MIT License","https://github.com/python-hyper/wsproto/"
"xlrd","2.0.1","BSD License","http://www.python-excel.org/"
"xlwt","1.3.0","BSD License","http://www.python-excel.org/"
